review_id,review_text,sentiment_label,sentiment_score,identified_theme(s),date,bank
222,Amrumehamed,neutral,0.0,Uncategorized Feedback,2024-10-21,Bank of Abyssinia
223,Good,positive,0.7,Uncategorized Feedback,2024-10-19,Bank of Abyssinia
224,"Nice to meet you my proud bank in Ethiopia.. I'm a member of this bank, i need to solve my problem of international receiving money for me from my online digital working service's over the world please? I'm working a lot of international money.But i can't get direct in Ethiopia because of don't knowing the legal ways of getting money in Ethiopia please can I get and direct deposit with BoA please 🙏🙏🙏?",positive,0.225,Uncategorized Feedback,2024-10-18,Bank of Abyssinia
225,Very good,positive,0.91,Uncategorized Feedback,2024-10-18,Bank of Abyssinia
226,ደደገነሐ,neutral,0.0,Uncategorized Feedback,2024-10-15,Bank of Abyssinia
227,"Terrible Bank Experience It’s unbelievable that with all the modern technology, this bank still struggles with even basic transactions. The app constantly crashes, services are limited, and every time I try to transfer money or load Telebirr, there’s a huge delay. I have to wait 5 days for failed transactions to be refunded! Even USSD is unreliable. They’ve put me in embarrassing situations countless times, and customer care never fixes anything. I’ve switched banks, and you should too!",negative,-0.1496031746031746,App Performance & Stability Issues; General Negative Feedback; Positive User Experience & Features; Transaction & Account Issues,2024-10-14,Bank of Abyssinia
228,A painfully slow banking app service. Please don't make it your choice!,negative,-0.375,Poor Customer Service,2024-10-13,Bank of Abyssinia
229,Good App,positive,0.7,Uncategorized Feedback,2024-10-12,Bank of Abyssinia
230,Best app to me,positive,1.0,Uncategorized Feedback,2024-10-11,Bank of Abyssinia
231,BOA,neutral,0.0,Uncategorized Feedback,2024-10-11,Bank of Abyssinia
232,Abdulkadir,neutral,0.0,Uncategorized Feedback,2024-10-11,Bank of Abyssinia
233,Bad,negative,-0.6999999999999998,Uncategorized Feedback,2024-10-10,Bank of Abyssinia
234,If it is possible I would gove0 star,neutral,0.0,Uncategorized Feedback,2024-10-08,Bank of Abyssinia
235,Nise mobile bankig,neutral,0.0,Uncategorized Feedback,2024-10-05,Bank of Abyssinia
236,Overall good app but performance needs some improvement also sometimes when using instant other bank transfers it refuses causing to be repeated several times to transfer,positive,0.1149999999999999,Uncategorized Feedback,2024-10-04,Bank of Abyssinia
237,Ok,positive,0.5,Uncategorized Feedback,2024-10-04,Bank of Abyssinia
238,Just make it work please🤣 this is embarrassing for a bank of your size,neutral,0.0,Uncategorized Feedback,2024-10-04,Bank of Abyssinia
239,Update to the simplest way it requires the developer option on and off why this is,neutral,0.0,Uncategorized Feedback,2024-10-04,Bank of Abyssinia
240,"Stop telling me what to do with my phone, BOA. Why does your newly updated app keep asking me to disable the developer options? I’m not slowing down my phone just to use your God damn app. 🤮🤮🤮🤮",neutral,-0.0095959595959596,Poor Customer Service,2024-10-04,Bank of Abyssinia
241,I'm living out of country how may I download and use mobile banking? It asks me the Ethiopia phone number and I can't receive text to confirm because I'm out side the country. So please lete know if I can use while I'm outside the country. Thanks,neutral,0.1,Uncategorized Feedback,2024-10-04,Bank of Abyssinia
242,Good,positive,0.7,Uncategorized Feedback,2024-10-03,Bank of Abyssinia
243,Worest app,neutral,0.0,Uncategorized Feedback,2024-10-03,Bank of Abyssinia
244,The worest app ever,neutral,0.0,Uncategorized Feedback,2024-10-03,Bank of Abyssinia
